sku_code,name,mrp
SU09017,CAM SHAFT W/BEARING ACSS 125 OLD,730.00
HS09019,CAM SHAFT W/BEARING AKTIVA 110 BS6,680.00
HS09020,CAM SHAFT W/BEARING AKTIVA 125 BS6,830.00
HS09017,CAM SHAFT W/BEARING AKTIVA NEW,1385.00
HS09008,CAM SHAFT W/BEARING AKTIVA/DIO/PLISUR,850.00
SU09011,CAM SHAFT W/BEARING APCHE/RTR/VEGO/PHNX,1180.00
KB09019,CAM SHAFT W/BEARING CETE 100/PLTNA/DSVR112,600.00
SU09010,CAM SHAFT W/BEARING CNTRA/STR CITY/SPORT/STR 110/PEP+,700.00
MK09008,CAM SHAFT W/BEARING DOURO,690.00
HS09012,CAM SHAFT W/BEARING DRM YGA/PESS XPRO,665.00
KB09017,CAM SHAFT W/BEARING DSVR,710.00
KB09029,CAM SHAFT W/BEARING DSVR 100/DTSI,660.00
KB09032,CAM SHAFT W/BEARING DSVR 100T/100M,660.00
KB09030,CAM SHAFT W/BEARING DSVR 150,660.00
RX09009,CAM SHAFT W/BEARING EFZ,910.00
SU09016,CAM SHAFT W/BEARING HEET/JUS/HAYTE,760.00
HH09008,CAM SHAFT W/BEARING HH/PESS,640.00
HH09017,CAM SHAFT W/BEARING I-SMART 110,575.00
TV09003,CAM SHAFT W/BEARING JPTR/WEGO,1185.00
TS09006,CAM SHAFT W/BEARING PEP,730.00
KB09024,CAM SHAFT W/BEARING PLSR 200/DSVR135,780.00
